Date / Time	City	State	Shape	Duration	Summary	Posted
11/30/14 21:45	Northumberland	PA	Oval	5 minutes	Orange object that changed directions and colors.	12/05/2014
11/30/14 21:30	Apache Junction	AZ	Unknown		Looking west towards Phoenix, five or six bright lights were in a straight  line, and then quickly formed into a triangle.	12/05/2014
11/30/14 21:00	Memphis	TN	Light	1-2 hours	Circular green glow/light in clouds.	12/05/2014
11/30/14 20:20	San Diego	CA	Light	45 seconds	Neon blue light with a smaller reddish part moving faster than the incoming  jets and making erratic turns.	12/05/2014
11/30/14 20:03	Mumbai (India)		Fireball	~8 minutes	Orange fireball with a bright square in the middle!	12/05/2014
11/30/14 20:00	Leland	NC	Triangle	45 seconds	Silent triangular shaped craft glides fast across the sky.	12/05/2014
11/30/14 19:30	Sarcoxie	MO	Other	3-5 minutes	At approximately 19:30 on November 30, 2014, two fighter jets were  witnessed by three adults traveling at a very high rate of speed.	12/05/2014
11/30/14 19:07	St. George	UT	Circle	8 minutes	Two bright dark orange balls of light slowly rose from the horizon up into  the western sky.	12/05/2014
11/30/14 19:00	Ft. Pierce (Hutchinson Island)	FL	Light	all evening	I have been in an ocean front condo the entire month of November in Fort  Pierce, Fl.	12/05/2014
11/30/14 19:00	Palm Coast	FL	Light	5 minutes	Point of light in sky. Orange, stationary, flickering, very bright. Thought  it was a planet (Mars or Venus).	12/05/2014
11/30/14 18:45	Scottsdale	AZ	Formation	15 minutes	Lights in formation seen over freeway.	12/05/2014
11/30/14 18:30	Gulfport	MS	Fireball	~90 seconds	Last evening, I went outside to smoke. I looked up I saw a orange ball.  Flying from the east to west.	12/05/2014
11/30/14 18:00	Waterford	MI	Triangle	10 seconds	Fast moving triangle ufo.	12/05/2014
11/30/14 17:29	Knoxville	TN	Circle	5-10 minutes	Orange ball of light disappeared and reappeared in cloudless parts of the  sky three times before we lost it.	12/05/2014
11/30/14 15:58	Lynxville	WI	Circle	2.5 minutes	It was 15:58 PM-The last day of Deer season. A round disk shaped object  came from N/E Iowa at probably Mach 2.	1/07/2015
11/30/14 15:15	Miami			1 hour	We saw 2 white parachute like object hovering in the skies. Well above  regular airplane routes.  They stayed up for about a good 20 m	12/05/2014
11/30/14 13:00	Grande Prairie (Canada)	AB	Unknown	10 minutes	I was driving to a remote oilfield site by myself (which is very typical)  to do maintenance work. I am a very practical person.	12/05/2014
11/30/14 05:00	Palmetto Bay	FL	Light	2 minutes	BRIGHT WHITE LIGHT MOVING WEST TO EAST VERY FAST.	12/05/2014
11/30/14 01:50	Seattle	WA	Other		Cream colored, it looked like a shooting star, but very large, as though a  small moon fell from the sky.	12/05/2014
11/30/14 01:00	Kemah	TX	Other	:30	While sitting on an upper deck a little after midnight, I was looking up at  the sky and saw an orange spider/bug looking object moving	12/05/2014
11/30/14 01:00	Dodge Center	MN		5 seconds	Loud noise with a white bright light.	12/05/2014
11/30/14 00:00	Richland	WA	Cylinder	12 seconds	It moved side to side, then up, then down then zipped out of site, and it  was illuminated.	12/05/2014
11/29/14 22:15	Miami	FL	Oval	5 minutes	Four orange, fire-like objects flying low over Miami, FL, area in a  straight line.	12/05/2014
11/29/14 22:10	Land O'Lakes	FL	Light	1-2 minutes	Trio of bright orange lights spotted over Land O'Lakes, FL.	12/05/2014
11/29/14 22:00	Orleans	MA	Chevron	1-4 hours	In the SSE sky (151 degrees), an intense light that appears to be a star,  but it seems MUCH brighter. ((NUFORC Note: Sirius?? PD))	12/05/2014
11/29/14 22:00	Berlin	MD	Light	2 hours	The light was one the southeast sky about 30 degrees above the horizon.  Flashing colors of red white and green.	12/05/2014
11/29/14 21:35	Sebastian	FL	Disk	2 seconds	Circular disc of light zooming extremely fast overhead and zigzagging once.	12/05/2014
11/29/14 21:17	New York City (Brooklyn)	NY	Fireball	1 every 6 minutes	7 fireballs, 1 every 6 mins flying from the sky through bedstuy, bushwick  brooklyn before disappearing to Manhattan.	12/05/2014
11/29/14 21:00	Ogden	UT	Changing	15 minutes	Erratic movements, shape and color changing craft.	12/05/2014
11/29/14 20:30	New Tampa	FL	Oval	45 minutes	Sitting out back.noticed one amber light coming above the treeline then  noticed two amber lights coming above the treeline they were al	12/05/2014
11/29/14 20:30	Bridgewater	MA	Light	minutes	5 bright orange lights all following the same arc at the same speed.	12/05/2014
11/29/14 20:30	Shelton	WA	Chevron	7 seconds	V-shaped object, glowing blue/grey moving straight and fast.	12/05/2014
11/29/14 20:30	Green Cove Springs	FL	Sphere	2 minutes	Bright sphere over Green Cove Springs.	12/05/2014
11/29/14 19:45	North Providence	RI	Circle	60+ minutes	I was in my backyard and I saw 4 balls of light dancing together in the  sky. ((NUFORC Note: Advertising lights?? PD))	12/05/2014
11/29/14 17:20	Deming	NM	Unknown	30 minutes	HUGE black stationary aircraft with unknown shape south of I-10 near  Deming, NM.	12/05/2014
11/29/14 17:00	Middleton	WI	Circle	30 seconds	At 5:00 pm 11/29/2014 [tonight] I was traveling eastbound on sth 14 heading  home from hunting. I was about 3 or 4 miles west of the st	12/05/2014
11/29/14 11:00	Burke	VA	Cigar	3-5 seconds	Low, fast moving descending jet-like object without sound and nose tilted  up.	12/05/2014
11/29/14 05:15	Cumberland	RI	Circle	6 minutes	Leaving my house for coffee the noticed a ball of light extremely quiet no  noise also big in size flying S the as 1 object.	12/05/2014
11/29/14 03:30	Colorado Springs	CO	Unknown	3 minutes	Red and green lights over Olympic Training Center.	12/05/2014
11/28/14 23:40	Farmington Hills	MI	Fireball	5 minutes	Fireball in Farmington Hills, Michigan.	12/05/2014
11/28/14 23:30	Cape Carteret (Emerald Isle)	NC	Fireball	8-10 minutes	Floating red orbs in the sky off Emerald Isle, NC.	12/05/2014
